Date,Open,High,Low,Close,Adj Close,Volume
2023-10-12,194.5,195.08999633789062,190.86000061035156,192.8800048828125,190.6147918701172,578800
2023-10-13,193.75,195.64999389648438,191.10000610351562,191.41000366210938,189.16204833984375,849200
2023-10-16,193.22999572753906,200.0500030517578,193.22999572753906,196.77999877929688,194.46897888183594,1028800
2023-10-17,196.77999877929688,200.1999969482422,195.5500030517578,196.00999450683594,193.70802307128906,1352400
2023-10-18,185.3300018310547,187.0500030517578,178.47000122070312,178.6699981689453,176.5716552734375,2521500
2023-10-19,179.4199981689453,183.05999755859375,178.3699951171875,178.80999755859375,176.71002197265625,1501800
2023-10-20,180.9600067138672,182.25,175.92999267578125,176.27000427246094,174.19985961914062,1240300
2023-10-23,175.0,176.30999755859375,172.5800018310547,172.67999267578125,170.6520233154297,997800
2023-10-24,173.8300018310547,174.2899932861328,169.36000061035156,172.6699981689453,170.64212036132812,1188800
2023-10-25,172.1699981689453,172.1699981689453,169.16000366210938,170.0399932861328,168.04299926757812,635000
2023-10-26,168.17999267578125,170.42999267578125,167.05999755859375,167.77999877929688,165.80955505371094,1182200
2023-10-27,168.47999572753906,169.1199951171875,164.52999877929688,165.97999572753906,164.03070068359375,987400
2023-10-30,167.38999938964844,170.13999938964844,166.36000061035156,169.7100067138672,167.71688842773438,930600
2023-10-31,170.0,172.75,168.77999877929688,171.8699951171875,169.85153198242188,762700
2023-11-01,172.25,175.1999969482422,171.49000549316406,172.9499969482422,170.91883850097656,702200
2023-11-02,174.32000732421875,175.75,172.08999633789062,172.4600067138672,170.43460083007812,699000
2023-11-03,174.5,175.77999877929688,172.92999267578125,175.69000244140625,173.6266632080078,561200
2023-11-06,175.7899932861328,176.85000610351562,172.16000366210938,174.8300018310547,172.77676391601562,493200
2023-11-07,173.27999877929688,175.66000366210938,172.88999938964844,174.9199981689453,172.86572265625,340900
2023-11-08,175.1199951171875,177.0800018310547,174.91000366210938,175.0,172.9447784423828,627400
2023-11-09,175.02000427246094,175.02000427246094,171.6199951171875,171.75999450683594,170.1511688232422,611100
2023-11-10,172.82000732421875,174.24000549316406,171.4499969482422,173.82000732421875,172.19189453125,549000
2023-11-13,172.6199951171875,174.5500030517578,172.14999389648438,173.6300048828125,172.003662109375,515700
2023-11-14,176.9499969482422,181.3300018310547,176.32000732421875,178.52999877929688,176.85777282714844,614700
2023-11-15,178.97000122070312,184.9600067138672,178.97000122070312,181.94000244140625,180.23582458496094,1043100
2023-11-16,182.57000732421875,183.27000427246094,176.25999450683594,178.6699981689453,176.99644470214844,652100
2023-11-17,179.58999633789062,179.8699951171875,176.8000030517578,178.0800018310547,176.4119873046875,880700
2023-11-20,178.17999267578125,179.44000244140625,176.6699981689453,177.86000061035156,176.1940460205078,564600
2023-11-21,177.6699981689453,181.60000610351562,176.5399932861328,180.32000732421875,178.63101196289062,485000
2023-11-22,180.7899932861328,181.72000122070312,179.6300048828125,181.13999938964844,179.4433135986328,380400
2023-11-24,180.88999938964844,183.39999389648438,180.88999938964844,183.0500030517578,181.33541870117188,230900
2023-11-27,182.0,182.19000244140625,179.47000122070312,179.63999938964844,177.95736694335938,446400
2023-11-28,179.57000732421875,181.4199981689453,178.47000122070312,180.6199951171875,178.9281768798828,427300
2023-11-29,181.55999755859375,184.33999633789062,181.39999389648438,182.0500030517578,180.3448028564453,520200
2023-11-30,182.0,186.16000366210938,181.00999450683594,185.27000427246094,183.53463745117188,1127400
2023-12-01,185.30999755859375,191.58999633789062,184.7100067138672,189.8000030517578,188.02220153808594,835000
2023-12-04,188.80999755859375,192.6999969482422,188.60000610351562,190.24000549316406,188.4580841064453,786100
2023-12-05,188.4600067138672,189.60000610351562,185.60000610351562,188.41000366210938,186.64523315429688,569000
2023-12-06,189.82000732421875,189.82000732421875,186.88999938964844,188.0800018310547,186.3183135986328,446300
2023-12-07,189.77000427246094,189.8000030517578,186.6699981689453,188.88999938964844,187.1207275390625,518900
2023-12-08,188.5,189.7899932861328,185.69000244140625,186.6199951171875,184.8719940185547,721000
2023-12-11,188.27000427246094,192.9600067138672,187.6999969482422,192.6699981689453,190.8653106689453,624500
2023-12-12,192.80999755859375,194.75999450683594,191.99000549316406,192.97999572753906,191.17242431640625,463300
2023-12-13,192.67999267578125,196.08999633789062,188.7899932861328,196.00999450683594,194.1740264892578,688400
2023-12-14,197.55999755859375,201.9199981689453,196.32000732421875,201.72999572753906,199.8404541015625,1039300
2023-12-15,202.0,207.63999938964844,200.5399932861328,202.22000122070312,200.3258819580078,2340900
2023-12-18,203.2100067138672,203.52000427246094,198.2100067138672,198.4600067138672,196.60108947753906,818400
2023-12-19,199.0,200.47000122070312,198.32000732421875,198.86000061035156,196.99734497070312,809300
2023-12-20,196.97000122070312,204.11000061035156,196.22000122070312,197.5800018310547,195.7293243408203,808700
2023-12-21,198.3300018310547,201.75999450683594,197.30999755859375,200.63999938964844,198.7606658935547,643500
2023-12-22,201.91000366210938,203.4499969482422,201.0,201.6999969482422,199.81072998046875,378400
2023-12-26,201.33999633789062,203.49000549316406,200.32000732421875,202.77999877929688,200.880615234375,291000
2023-12-27,202.1999969482422,203.1699981689453,201.49000549316406,202.25,200.3555908203125,662400
2023-12-28,203.67999267578125,203.67999267578125,200.5500030517578,201.86000061035156,199.96923828125,399100
2023-12-29,201.30999755859375,202.61000061035156,199.33999633789062,199.74000549316406,197.8690948486328,407000
